#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Lose Yourself","Eminem",171,10B,74,2026-02-04,05:20,54,"rap, hip hop","8 Mile (Music From And Inspired By The Motion Picture)",2002-10-29,68,1,0,6,20,20,-5,D Major,4,6GkTKjv1XbFVdI2D8vvDPu,USIR10211559
2,"8 Mile","Eminem",90,11B,94,2026-02-04,05:59,63,"rap, hip hop","8 Mile (Music From And Inspired By The Motion Picture)",2002-10-29,74,13,0,49,20,10,-4,A Major,4,5NmL2zxnlt9GiTB2TQbvFM,USIR10211622
3,"Rabbit Run","Eminem",95,11A,84,2026-02-04,03:10,59,"rap, hip hop","8 Mile (Music From And Inspired By The Motion Picture)",2002-10-29,56,0,0,34,30,10,-4,F#/G♭ Minor,4,30KKYkJ0lonfKI2eaLACnZ,USIR10211627
4,"White America","Eminem",77,3B,62,2026-02-04,05:24,65,"rap, hip hop","The Eminem Show",2002-05-26,56,1,0,16,20,10,-6,C♯/D♭ Major,4,15qrWkkYCfmtu1uRpGf48L,USIR10211052
5,"Cleanin' Out My Closet","Eminem",148,8A,76,2026-02-04,04:57,74,"rap, hip hop","The Eminem Show",2002-05-26,91,7,0,87,10,0,-5,A Minor,4,7BMO7O7ImjV8HNTH74Tshv,USIR10211054
6,"Without Me","Eminem",112,9B,67,2026-02-04,04:50,88,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
7,"Sing For The Moment","Eminem",164,4A,82,2026-02-04,05:39,77,"rap, hip hop","The Eminem Show",2002-05-26,67,0,0,19,10,0,-4,F Minor,4,3CpoeW0cZSDzIRv5z34F87,USIR10211061
8,"Never Enough","Eminem,50 Cent,Nate Dogg",96,1B,72,2026-02-04,02:39,70,"rap, hip hop, old school hip hop, east coast hip hop, g-funk, west coast hip hop","Encore (Deluxe Version)",2004-11-12,78,29,0,59,30,60,-5,B Major,4,5CsDo9j3N4yFZNCN1h9loS,USIR10400816
9,"Mockingbird","Eminem",84,8B,68,2026-02-04,04:10,87,"rap, hip hop","Encore (Deluxe Version)",2004-11-12,64,21,0,25,20,10,-4,C Major,4,561jH07mF1jHuk7KlaeF0s,USIR10400813
10,"Stan","Eminem,Dido",80,11A,77,2026-02-04,06:44,81,"rap, hip hop, ","The Marshall Mathers LP",2000-05-23,78,4,0,51,20,50,-4,F#/G♭ Minor,4,3UmaczJpikHgJFyBTAJVoz,USIR10001280
